,GDP(SA),수출(NSA),수입(NSA),소비자물가지수(NSA),NSI,전산업생산지수(SA),일평균수출(NSA),일평균수입(NSA),일평균수출(SA),일평균수입(SA),소비자물가지수(SA),"일평균수출(실질, SA)"
200001,,12162425.0,12594623.0,62.456,,52.5,511026.26050420164,529185.8403361344,536977.571058137,532463.900964831,62.6159275774485,857573.4510903143
200002,,12676042.0,12023652.0,62.647,,52.5,573576.5610859728,544056.6515837103,576738.790339321,523585.471625166,62.6311557751938,920849.6685091493
200003,220786.3,14429703.0,14212011.0,62.962,,53.6,581842.8629032258,573064.9596774194,573277.64944654,564244.784980591,62.5986757774525,915798.3652635503
200004,,13522040.0,13344532.0,62.709,,53.5,628932.0930232558,620675.9069767442,622528.866056266,618979.120351798,62.3643803019208,998212.2215316751
200005,,14636755.0,13283356.0,62.393,,54.9,641962.9385964912,582603.3333333334,629592.434474615,596876.2161348871,62.3215292799036,1010232.6463250566
200006,223728.3,15250940.0,13177511.0,62.709,,55.1,640795.7983193278,553676.9327731092,620181.416353066,549804.041610647,62.643622554644296,990015.2498557679
200007,,14455656.0,13671876.0,62.962,,55.7,615134.2978723404,581781.9574468085,650931.10517399,595166.583740585,63.0534720904709,1032347.7575350899
200008,,14786880.0,13441139.0,63.277,,55.5,596245.1612903225,541981.4112903225,634130.256909501,581421.521522525,63.277139014693496,1002147.4845160912
200009,229891.1,15133379.0,13291803.0,64.098,,55.0,703878.0930232558,618223.3953488372,658418.574305646,593054.310019349,63.85083583054271,1031182.3889871384
200010,,15248068.0,14104212.0,64.035,,54.9,640675.1260504201,592613.9495798319,627155.686324823,579854.46053445,64.0474112505198,979205.3637760933
200011,,14989068.0,14160418.0,63.656,,54.4,604397.9032258064,570984.5967741936,610086.622151139,581625.336260441,64.1140679541231,951564.362735004
200012,229145.2,14976555.0,13175885.0,63.908,,53.4,637300.2127659575,560675.9574468085,632504.7792878239,556895.2819229871,64.3199167048308,983373.1318254631
200101,,12644929.0,12431023.0,64.604,,54.7,580042.6146788991,570230.4128440367,608194.17389321,572535.5018393521,64.7612178187169,939133.3183321226
200102,,13354074.0,12732258.0,64.919,,54.9,585705.0,558432.3684210526,589911.443659075,537968.108196064,64.9001766914435,908951.9840041505
200103,231953.5,14124891.0,12951886.0,65.488,,55.1,576526.1632653062,528648.4081632653,568854.758424624,520473.473068581,65.0993541996802,873825.5016782001
200104,,12121110.0,11212192.0,65.74,,56.0,531627.6315789473,491762.8070175438,524440.703317171,488412.457380086,65.3804226254364,802137.21823379
200105,,13306959.0,11554834.0,65.677,,56.8,552155.9751037344,479453.69294605806,540408.258955659,488586.35253613297,65.5985813833595,823810.892795839
200106,234966.3,12931941.0,11718966.0,65.866,,56.3,550295.3617021276,498679.40425531915,532591.81532684,497562.73176790203,65.82027158927829,809160.7683575646
200107,,11392257.0,11107564.0,65.992,,56.0,478666.2605042017,466704.3697478991,507076.16833631205,478487.56575138296,66.0921716002988,767225.7637453988
