,DFM,BEM1,BEM2,BEM3,TFM,T-M,VAR,SVR-KNN,CRNN,RF-DVS,S-XGB,LQR,OptimARIMA,Avg,Med,Min,Max,AdaMSM,DQS,BMA,DMA,LOP,AFTER,DQS_Mk2
2016-06-01,0.52187,0.68174,0.60908,0.40931,1.07836,0.98704,-0.03484,0.85592,0.8,0.79073,1.10469,0.64991,0.98634,0.7261653846153846,0.79073,-0.03484,1.10469,0.7261653846153846,0.79073,0.7261653846153846,0.7261653846153846,0.7261653846153846,0.7261653846153846,0.7261653846153846
2016-09-01,0.78732,0.45251,0.44079,0.64712,1.04601,0.88749,0.41444,0.50364,0.8,0.40579,1.13505,0.68819,1.01989,0.7098646153846153,0.68819,0.40579,1.13505,0.7098646153846153,0.68819,0.7098646153846153,0.7098646153846153,0.7098646153846153,0.7098646153846153,0.40579
2016-12-01,0.61676,0.46307,0.39906,0.68148,0.55462,0.66955,0.2402,0.69038,0.7,0.52939,1.24686,0.6308,0.85448,0.6366653846153846,0.6308,0.2402,1.24686,0.6366653846153846,0.6308,0.6366653846153846,0.6366653846153846,0.6366653846153846,0.6366653846153846,0.6366653846153846
2017-03-01,1.08965,0.91609,0.87749,0.7858,1.34307,1.09835,0.10692,0.18384,0.8,0.67763,1.24222,0.98542,1.15928,0.866596923076923,0.91609,0.10692,1.34307,0.866596923076923,0.8853136113857627,0.866596923076923,0.866596923076923,0.866596923076923,0.866596923076923,0.8737450124916716
2017-06-01,0.70762,0.46973,0.4502,0.85792,1.04835,1.08067,0.40665,-0.35811,0.6,0.40989,1.00121,0.77855,1.23765,0.668486923076923,0.70762,-0.35811,1.23765,0.46973,0.5192727428946842,0.6745311034924953,0.6763394086557316,0.6825337294311377,0.6770168462309331,0.6712554211170921
2017-09-01,0.92213,0.50071,0.44908,0.91336,0.58606,0.7164,0.12469,0.24672,1.1,0.45234,0.91079,0.84539,1.21857,0.6912492307692308,0.7164,0.12469,1.21857,0.91336,0.7159357067980683,0.7521978917688188,0.7515983662394631,0.7496479082581072,0.7069450664359433,0.7289434931266524
2017-12-01,0.97254,0.54775,0.46282,0.43926,0.98617,1.05751,0.08409,0.42294,0.9,0.50967,1.2478,0.84938,1.12079,0.738516923076923,0.84938,0.08409,1.2478,0.9,0.8496257304172655,0.8703307602208413,0.8692179232625399,0.8466197483010051,0.7816873273471985,0.8495196173009376
2018-03-01,0.92491,0.66942,0.61394,0.97133,0.83767,0.79708,0.20646,0.63152,1.1,0.66631,0.87301,0.54878,0.77248,0.7394546153846154,0.77248,0.20646,1.1,0.97133,0.77248,0.9175798787176762,0.9101294376052138,0.772011072461916,0.7525544290524547,0.77248
2018-06-01,0.61097,0.6894,0.65111,0.51504,0.33402,0.49375,0.27147,0.48024,0.6,0.57425,0.78232,0.66345,1.00266,0.5898984615384616,0.6,0.27147,1.00266,0.6,0.6,0.5234081026690242,0.5259907694071391,0.5901413225499911,0.5939304311932566,0.5939304311932566
2018-09-01,1.04818,0.60773,0.56543,0.79571,1.27524,0.92319,0.19797,0.64221,0.8,0.57913,1.46176,0.6069,0.84057,0.7956938461538461,0.79571,0.19797,1.46176,0.8,0.7959081635887422,0.7948161404453623,0.7945689516885036,0.7874355242819823,0.7912832597044652,0.795696990634012
2018-12-01,0.5419,0.50534,0.4468,0.53214,0.33282,0.51763,0.0952,0.73619,0.7,0.51361,0.95077,0.97005,0.71429,0.5812876923076924,0.53214,0.0952,0.97005,0.50534,0.53214,0.5475787174007565,0.5478023533026185,0.563197179043232,0.5707261626468222,0.5419
2019-03-01,0.57776,0.39509,0.33361,0.24953,0.5622,0.61188,-0.1897,-0.52494,0.7,0.68929,0.61863,0.66243,0.53445,0.40155615384615384,0.5622,-0.52494,0.7,0.39509,0.539868712719013,0.5543877653732122,0.5486808059054774,0.4753031866881208,0.4132786593112402,0.5385645147458551
2019-06-01,0.55267,0.67249,0.63421,0.40884,0.97067,0.99001,-0.29079,0.61821,0.7,0.72438,0.90242,0.12572,0.42322,0.5716961538461539,0.63421,-0.29079,0.99001,0.63421,0.63421,0.550878665745662,0.5524037234516861,0.5510817985899564,0.5639395711059761,0.61821
2019-09-01,0.47246,0.60326,0.59834,0.57947,0.33248,0.59059,0.4381,0.58422,0.2,0.6382,1.05884,0.66603,0.78225,0.5803261538461538,0.59059,0.2,1.05884,0.59834,0.59059,0.5870119994405143,0.5860633792024771,0.5760868706160637,0.5786619462092537,0.5870119994405143
2019-12-01,0.57254,0.67751,0.63605,0.67587,1.78959,1.28793,0.1745,0.74182,0.7,0.66054,0.70628,0.69231,0.94589,0.7892946153846154,0.69231,0.1745,1.78959,1.28793,0.7057975931114621,0.8986056735673277,0.8996967895614383,0.8513281986150523,0.8102863857379927,0.7259960355946455
2020-03-01,0.46986,0.54906,0.5205,0.58666,0.73697,0.96315,0.02968,0.27659,0.5,0.62608,0.92268,0.40925,0.73684,0.5636399999999999,0.54906,0.02968,0.96315,0.73697,0.5563499999999999,0.6472389712387899,0.6443432011742203,0.6036949439513174,0.5830258064170936,0.5830258064170936
2020-06-01,0.07402,-0.23854,-0.28699,0.05609,-1.31252,-0.31545,0.02508,-1.15321,0.7,0.84439,-3.19413,0.84112,0.66985,-0.2530992307692308,0.02508,-3.19413,0.84439,-1.15321,-3.19413,-0.980419199506925,-0.2715792534595336,-0.2170795467130535,-0.202729758836436,-3.19413
2020-09-01,-0.51548,1.14968,1.05263,-0.56072,1.26816,1.97982,-1.43354,1.45595,0.2,1.61467,1.30398,0.1682,0.86868,0.6578484615384615,1.05263,-1.43354,1.97982,1.30398,1.268616895522934,0.7833746210167774,0.7757756993083692,0.7957405817207795,1.0176239419398914,1.0176239419398914
2020-12-01,-0.24281,0.7801,1.00065,0.19048,1.46357,1.97011,0.9758,1.13158,-0.3,0.26716,1.07625,0.67822,1.38119,0.7978692307692307,0.9758,-0.3,1.97011,1.13158,0.8838313731423832,0.9012285076371216,0.8960591540216317,0.9554300536163449,1.1612028227348556,0.9554300536163449
2021-03-01,0.72216,0.22653,0.16178,1.20317,1.4809,0.84802,0.99281,0.60954,1.2,1.03072,0.88427,0.74108,1.13407,0.8642346153846154,0.88427,0.16178,1.4809,0.88427,0.88427,0.842084509145878,0.843039590553848,0.8413173256282959,0.8388778641888827,0.8642346153846154
2021-06-01,0.89574,0.4361,0.39893,0.90524,1.5395,1.08387,0.38811,-0.3059,0.9,0.225,1.27918,0.81106,1.04438,0.7385546153846154,0.89574,-0.3059,1.5395,1.27918,0.8233554757795634,0.762840237677151,0.7614044493763844,0.913487814880408,0.9846071065051937,0.8207569120042768
2021-09-01,1.51028,0.4277,0.37312,0.94665,1.33152,0.70229,0.34915,0.14953,0.9,-0.30312,0.82401,0.6025,0.81456,0.663706923076923,0.70229,-0.30312,1.51028,0.81456,0.6638225041017125,0.6358481699050642,0.63671973844905,0.6768073126732189,0.6317671574261725,0.6638225041017125
2021-12-01,1.26923,0.27965,0.2273,0.4712,0.31893,0.59832,0.1064,0.30994,0.5,0.69738,0.6959,0.74576,0.98554,0.5542730769230769,0.5,0.1064,1.26923,0.6959,0.5271365384615385,0.5775238372091214,0.5750432370713264,0.5537341447090788,0.5402033025538913,0.5537341447090788
2022-03-01,1.56853,0.65827,0.6314,0.93278,0.90118,0.68184,0.57293,0.22891,0.5,0.27344,0.93966,0.83555,0.88065,0.7388569230769231,0.68184,0.22891,1.56853,0.83555,0.7103484615384615,0.7441015932782045,0.7428794486905239,0.7428459972039511,0.7433786490389217,0.7428459972039511
2022-06-01,0.93685,0.09697,0.03135,0.61664,0.86334,0.82345,0.49446,0.62845,0.9,0.65566,0.77699,0.17833,0.68409,0.5912753846153846,0.65566,0.03135,0.93685,0.68409,0.65566,0.5101410867858146,0.5141575077714642,0.5619323416359356,0.5775872365717342,0.6283566774950944
2022-09-01,1.10884,0.04248,-0.02288,0.1846,0.07907,0.40234,0.27364,0.79414,0.7,0.93073,0.46545,0.02428,0.34269,0.40964461538461533,0.34269,-0.02288,1.10884,0.40234,0.35070243584106264,0.48282167613165655,0.4820943255104587,0.4280340600831651,0.41339582867909724,0.40234
2022-12-01,0.74324,0.32169,0.2607,0.29976,0.24327,0.45573,0.22987,0.67637,0.7,0.67244,0.52829,0.49123,0.66586,0.4837269230769231,0.49123,0.22987,0.74324,0.52829,0.49123,0.6425052363784155,0.6387948814875223,0.5301770907909542,0.4908007699861009,0.4923194659826889
2023-03-01,0.62315,0.39904,0.32492,-0.28481,0.07608,0.6327,-0.17197,0.89374,0.5,0.76027,0.39814,0.3877,0.52064,0.3892,0.39904,-0.28481,0.89374,0.07608,0.39859,0.0218335183506203,0.029918296928263505,0.23491954823031114,0.3557065666472001,0.38790348637254196
